ros-humble-rqt-plot	1.1.5-1jammy.20250721.230119
ros-humble-rqt-publisher	1.5.0-1jammy.20250721.230324
ros-humble-rqt-py-common	1.1.7-1jammy.20250719.143308
ros-humble-rqt-py-console	1.0.2-3jammy.20250721.230614
ros-humble-rqt-reconfigure	1.1.2-1jammy.20250721.230802
ros-humble-rqt-service-caller	1.0.5-3jammy.20250721.230633
ros-humble-rqt-shell	1.0.2-3jammy.20250721.230617
ros-humble-rqt-srv	1.0.3-3jammy.20250721.231228
ros-humble-rqt-topic	1.5.0-1jammy.20250721.230625
ros-humble-rsl	1.2.0-3jammy.20250719.151821
ros-humble-rttest	0.13.0-2jammy.20250719.011917
ros-humble-rviz-assimp-vendor	11.2.19-1jammy.20250719.003437
ros-humble-rviz-common	11.2.19-1jammy.20250728.154039
ros-humble-rviz-default-plugins	11.2.19-1jammy.20250729.010021
ros-humble-rviz-ogre-vendor	11.2.19-1jammy.20250719.012906
ros-humble-rviz-rendering	11.2.19-1jammy.20250719.022224
ros-humble-rviz2	11.2.19-1jammy.20250729.022220
ros-humble-sdl2-vendor	3.3.0-1jammy.20250701.023507
ros-humble-sensor-msgs	4.9.0-1jammy.20250719.095917
ros-humble-sensor-msgs-py	4.9.0-1jammy.20250719.112955
ros-humble-shape-msgs	4.9.0-1jammy.20250719.103420
ros-humble-shared-queues-vendor	0.15.15-1jammy.20250716.201356
ros-humble-slam-toolbox	2.6.10-1jammy.20250729.022210
ros-humble-smclib	4.1.2-1jammy.20250719.011955
ros-humble-spdlog-vendor	1.3.1-1jammy.20250719.011935
ros-humble-sqlite3-vendor	0.15.15-1jammy.20250716.201402
ros-humble-sros2	0.10.7-1jammy.20250719.144940
ros-humble-sros2-cmake	0.10.7-1jammy.20250719.145754
ros-humble-statistics-msgs	1.2.2-1jammy.20250719.083546
ros-humble-std-msgs	4.9.0-1jammy.20250719.083651
ros-humble-std-srvs	4.9.0-1jammy.20250719.084027
ros-humble-steering-controllers-library	2.49.1-1jammy.20250731.202006
ros-humble-stereo-msgs	4.9.0-1jammy.20250719.102008
ros-humble-tango-icons-vendor	0.1.1-3jammy.20250719.011945
ros-humble-tcb-span	1.0.2-2jammy.20250701.024105
ros-humble-teleop-twist-joy	2.4.8-1jammy.20250719.142055
ros-humble-teleop-twist-keyboard	2.4.0-1jammy.20250719.122345
ros-humble-tf2	0.25.16-1jammy.20250728.135745
ros-humble-tf2-bullet	0.25.16-1jammy.20250728.150901
ros-humble-tf2-eigen	0.25.16-1jammy.20250728.151003
ros-humble-tf2-eigen-kdl	0.25.16-1jammy.20250728.151921
ros-humble-tf2-geometry-msgs	0.25.16-1jammy.20250728.153138
ros-humble-tf2-kdl	0.25.16-1jammy.20250728.153224
ros-humble-tf2-msgs	0.25.16-1jammy.20250725.164330
ros-humble-tf2-py	0.25.16-1jammy.20250728.140614
ros-humble-tf2-ros	0.25.16-1jammy.20250728.140444
ros-humble-tf2-ros-py	0.25.16-1jammy.20250728.152328
ros-humble-tf2-sensor-msgs	0.25.16-1jammy.20250728.153224
ros-humble-tf2-tools	0.25.16-1jammy.20250728.153302
ros-humble-tinyxml-vendor	0.8.3-2jammy.20250701.024236
ros-humble-tinyxml2-vendor	0.7.6-1jammy.20250701.024149
ros-humble-tl-expected	1.0.2-2jammy.20250701.024347
ros-humble-tlsf	0.7.0-2jammy.20250719.012146
ros-humble-tlsf-cpp	0.13.0-2jammy.20250719.132752
ros-humble-topic-monitor	0.20.5-1jammy.20250719.120513
ros-humble-tracetools	4.1.1-1jammy.20250719.005538
ros-humble-trajectory-msgs	4.9.0-1jammy.20250719.103542
ros-humble-transmission-interface	2.51.0-1jammy.20250722.082454
ros-humble-tricycle-controller	2.49.1-1jammy.20250731.181345
ros-humble-tricycle-steering-controller	2.49.1-1jammy.20250731.202813
ros-humble-turtlesim	1.4.2-1jammy.20250719.134601
ros-humble-uncrustify-vendor	2.0.2-2jammy.20250701.024637
ros-humble-unique-identifier-msgs	2.2.1-3jammy.20250719.084503
ros-humble-urdf	2.6.1-1jammy.20250719.021929
ros-humble-urdf-parser-plugin	2.6.1-1jammy.20250719.005630
ros-humble-urdfdom	3.0.2-2jammy.20250719.014522
ros-humble-urdfdom-headers	1.0.6-2jammy.20250701.051346
ros-humble-velocity-controllers	2.49.1-1jammy.20250731.201314
ros-humble-vision-msgs	4.1.1-1jammy.20260416.073004
ros-humble-visualization-msgs	4.9.0-1jammy.20250719.102100
ros-humble-yaml-cpp-vendor	8.0.2-1jammy.20250701.025036
ros-humble-zstd-vendor	0.15.15-1jammy.20250716.201418
rpcbind	1.2.6-2build1
rpcsvc-proto	1.4.2-0ubuntu6
rsync	3.2.7-0ubuntu0.22.04.4
rsyslog	8.2112.0-2ubuntu2.2
rtkit	0.13-4build2
rygel	0.40.3-1ubuntu2
samba-libs:arm64	2:4.15.13+dfsg-0ubuntu1.7
sane-airscan	0.99.27-1build1
sane-utils	1.1.1-5
sbsigntool	0.9.4-2ubuntu2
seahorse	41.0-2
seatd	0.6.4-1
secureboot-db	1.8
sed	4.8-1ubuntu2
sensible-utils	0.0.17
session-migration	0.3.6
sgml-base	1.30
sgml-data	2.0.11+nmu1
shared-mime-info	2.1-2
shiboken2	5.15.2-2build2
shotwell	0.30.14-1ubuntu6
shotwell-common	0.30.14-1ubuntu6
simple-scan	42.0-1
sip-dev	4.19.25+dfsg-3build1
snapd	2.68.5+ubuntu22.04.1
sntp	1:4.2.8p15+dfsg-1ubuntu2
software-properties-common	0.99.22.9
software-properties-gtk	0.99.22.9
sound-icons	0.1-8
sound-theme-freedesktop	0.8-2ubuntu1
sox	14.4.2+git20190427-2+deb11u2ubuntu0.22.04.1
speech-dispatcher	0.11.1-1ubuntu3
speech-dispatcher-audio-plugins:arm64	0.11.1-1ubuntu3
speech-dispatcher-espeak-ng	0.11.1-1ubuntu3
spice-vdagent	0.22.1-1
squashfs-tools	1:4.5-3build1
sshfs	3.7.1+repack-2
ssl-cert	1.1.2
sssd	2.6.3-1ubuntu3.6
sssd-ad	2.6.3-1ubuntu3.6
sssd-ad-common	2.6.3-1ubuntu3.6
sssd-common	2.6.3-1ubuntu3.6
sssd-ipa	2.6.3-1ubuntu3.6
sssd-krb5	2.6.3-1ubuntu3.6
sssd-krb5-common	2.6.3-1ubuntu3.6
sssd-ldap	2.6.3-1ubuntu3.6
sssd-proxy	2.6.3-1ubuntu3.6
stress	1.0.5-1
sudo	1.9.9-1ubuntu2.5
switcheroo-control	2.4-3build2
system-config-printer	1.5.16-0ubuntu3
system-config-printer-common	1.5.16-0ubuntu3
system-config-printer-udev	1.5.16-0ubuntu3
systemd	249.11-0ubuntu3.16
systemd-oomd	249.11-0ubuntu3.16
systemd-sysv	249.11-0ubuntu3.16
systemd-timesyncd	249.11-0ubuntu3.16
sysvinit-utils	3.01-1ubuntu1
tango-icon-theme	0.8.90-8
tar	1.34+dfsg-1ubuntu0.1.22.04.2
tcl	8.6.11+1build2
tcl-dev:arm64	8.6.11+1build2
tcl8.6	8.6.12+dfsg-1build1
tcl8.6-dev:arm64	8.6.12+dfsg-1build1
thunderbird	1:128.12.0+build1-0ubuntu0.22.04.1
thunderbird-gnome-support	1:128.12.0+build1-0ubuntu0.22.04.1
timgm6mb-soundfont	1.3-5
tk	8.6.11+1build2
tk-dev:arm64	8.6.11+1build2
tk8.6	8.6.12-1build1
tk8.6-blt2.5	2.5.3+dfsg-4.1build2
tk8.6-dev:arm64	8.6.12-1build1
totem	42.0-1ubuntu1
totem-common	42.0-1ubuntu1
totem-plugins	42.0-1ubuntu1
tpm-udev	0.6
tpm2-tools	5.2-1build1
tracker	3.3.0-1
tracker-extract	3.3.3-0ubuntu0.20.04.3
tracker-miner-fs	3.3.3-0ubuntu0.20.04.3
transmission-common	3.00-2ubuntu2.1
transmission-gtk	3.00-2ubuntu2.1
tzdata	2025b-0ubuntu0.22.04.1
u-boot-tools	2022.01+dfsg-2ubuntu2.6
ubuntu-advantage-desktop-daemon	1.10.ubuntu0.22.04.2
ubuntu-advantage-tools	36ubuntu0~22.04
ubuntu-desktop	1.481.4
ubuntu-desktop-minimal	1.481.4
ubuntu-docs	22.04.5
ubuntu-drivers-common	1:0.9.6.2~0.22.04.8
ubuntu-keyring	2021.03.26
ubuntu-mono	20.10-0ubuntu2
ubuntu-pro-client	36ubuntu0~22.04
ubuntu-pro-client-l10n	36ubuntu0~22.04
ubuntu-release-upgrader-core	1:22.04.20
ubuntu-release-upgrader-gtk	1:22.04.20
ubuntu-report	1.7.1ubuntu0.1
ubuntu-session	42.0-1ubuntu2
ubuntu-settings	22.04.6
ubuntu-wallpapers	22.04.4-0ubuntu1
ubuntu-wallpapers-jammy	22.04.4-0ubuntu1
ucf	3.0043
udev	249.11-0ubuntu3.16
udisks2	2.9.4-1ubuntu2.3
uncrustify	0.72.0+dfsg1-2
unicode-data	14.0.0-1.1
unixodbc-common	2.3.9-5ubuntu0.1
unixodbc-dev:arm64	2.3.9-5ubuntu0.1
uno-libs-private	1:7.3.7-0ubuntu0.22.04.10
unzip	6.0-26ubuntu3.2
update-inetd	4.51
update-manager	1:22.04.22
update-manager-core	1:22.04.22
update-notifier	3.192.54.8
update-notifier-common	3.192.54.8
upower	0.99.17-1
ure	1:7.3.7-0ubuntu0.22.04.10
usb-modeswitch	2.6.1-3ubuntu2
usb-modeswitch-data	20191128-4
usb.ids	2022.04.02-1
usbmuxd	1.1.1-2build2
usbutils	1:014-1build1
usrmerge	25ubuntu2
ussp-push	0.11-4
uthash-dev:arm64	2.3.0-1
util-linux	2.37.2-4ubuntu3.4
uuid-dev:arm64	2.37.2-4ubuntu3.4
uuid-runtime	2.37.2-4ubuntu3.4
vim	2:8.2.3995-1ubuntu2.24
vim-common	2:8.2.3995-1ubuntu2.24
vim-runtime	2:8.2.3995-1ubuntu2.24
vtk9	9.1.0+really9.1.0+dfsg2-3build1
vulkan-tools	1.3.204.0+dfsg1-1
wamerican	2020.12.07-2
wget	1.21.2-2ubuntu1.1
whiptail	0.52.21-5ubuntu2
whoopsie-preferences	23
wireless-regdb	2024.10.07-0ubuntu1~22.04.1
wireless-tools	30~pre9-13.1ubuntu4
wpasupplicant	2:2.10-6ubuntu2.2
x11-apps	7.7+8build2
x11-common	1:7.7+23ubuntu2
x11-session-utils	7.7+4build2
x11-utils	7.7+5build2
x11-xkb-utils	7.7+5build4
x11-xserver-utils	7.7+9build1
x11proto-dev	2021.5-1
xauth	1:1.1-1build2
xbitmaps	1.1.1-2.1ubuntu1
xbrlapi	6.4-4ubuntu3
xcursor-themes	1.0.6-0ubuntu1
xcvt	0.1.1-3
xdg-dbus-proxy	0.1.3-1
xdg-desktop-portal	1.14.4-1ubuntu2~22.04.2
xdg-desktop-portal-gnome	42.1-0ubuntu2
xdg-desktop-portal-gtk	1.14.0-1build1
xdg-user-dirs	0.17-2ubuntu4
xdg-user-dirs-gtk	0.10-3build2
xdg-utils	1.1.3-4.1ubuntu3~22.04.1
xfonts-base	1:1.0.5
xfonts-encodings	1:1.0.5-0ubuntu2
xfonts-scalable	1:1.0.3-1.2ubuntu1
xfonts-utils	1:7.7+6build2
xinit	1.4.1-0ubuntu4
xinput	1.6.3-1build2
xkb-data	2.33-1
xloadimage	4.1-25
xml-core	0.18+nmu1
xorg	1:7.7+23ubuntu2
xorg-docs-core	1:1.7.1-1.2
xorg-sgml-doctools	1:1.11-1.1
xserver-common	2:21.1.4-2ubuntu1.7~22.04.15
xserver-xephyr	2:21.1.4-2ubuntu1.7~22.04.15
xserver-xorg	1:7.7+23ubuntu2
xserver-xorg-core	2:21.1.4-2ubuntu1.7~22.04.15
xserver-xorg-input-all	1:7.7+23ubuntu2
xserver-xorg-input-libinput	1.2.1-1
xserver-xorg-input-wacom	1:1.0.0-3ubuntu1
xserver-xorg-legacy	2:21.1.4-2ubuntu1.7~22.04.15
xserver-xorg-video-all	1:7.7+23ubuntu2
xserver-xorg-video-amdgpu	22.0.0-1ubuntu0.2
xserver-xorg-video-ati	1:19.1.0-2ubuntu1
xserver-xorg-video-fbdev	1:0.5.0-2build1
xserver-xorg-video-nouveau	1:1.0.17-2build1
xserver-xorg-video-radeon	1:19.1.0-2ubuntu1
xserver-xorg-video-vesa	1:2.5.0-1build4
xterm	372-1ubuntu1
xtl-dev	0.7.2-2
xtrans-dev	1.4.0-1
xwayland	2:22.1.1-1ubuntu0.19
xxd	2:8.2.3995-1ubuntu2.24
xz-utils	5.2.5-2ubuntu1
yaru-theme-gnome-shell	22.04.5
yaru-theme-gtk	22.04.5
yaru-theme-icon	22.04.5
yaru-theme-sound	22.04.5
yelp	42.1-1ubuntu0.1
yelp-xsl	42.0-1ubuntu0.1
zenity	3.42.1-0ubuntu1
zenity-common	3.42.1-0ubuntu1
zip	3.0-12build2
zlib1g:arm64	1:1.2.11.dfsg-2ubuntu9.2
zlib1g-dev:arm64	1:1.2.11.dfsg-2ubuntu9.2
zstd	1.4.8+dfsg-3build1
